tick,drone_id,row,col
0,0,21.707,1.707
0,1,23.949,42.684
0,2,29.000,38.000
0,3,1.894,20.447
0,4,31.293,10.293
1,0,22.464,2.360
1,1,24.897,42.368
1,2,29.000,39.000
1,3,2.789,20.894
1,4,30.586,9.586
2,0,23.221,3.014
2,1,25.846,42.051
2,2,29.000,40.000
2,3,3.683,21.342
2,4,29.879,8.879
3,0,23.978,3.667
3,1,26.795,41.735
3,2,29.494,40.869
3,3,4.527,21.879
3,4,29.172,8.172
4,0,24.659,4.400
4,1,27.511,41.037
4,2,29.605,41.863
4,3,5.402,22.362
4,4,28.182,8.027
5,0,25.517,4.914
5,1,28.232,41.730
5,2,28.734,42.354
5,3,6.278,22.845
5,4,28.805,7.245
6,0,26.165,5.675
6,1,28.853,40.946
6,2,29.674,42.013
6,3,7.183,23.269
6,4,28.915,8.238
7,0,26.814,6.436
7,1,29.747,40.496
7,2,30.203,41.165
7,3,8.089,23.694
7,4,29.263,9.176
8,0,27.712,6.876
8,1,28.871,40.013
8,2,29.240,40.897
8,3,8.994,24.119
8,4,30.145,8.705
9,0,28.609,7.317
9,1,27.943,39.642
9,2,28.388,41.421
9,3,9.899,24.544
9,4,30.399,7.737
10,0,27.902,8.024
10,1,27.043,40.080
10,2,27.394,41.525
10,3,10.804,24.969
10,4,29.710,8.462
11,0,27.499,8.939
11,1,26.737,41.032
11,2,28.152,42.177
11,3,11.709,25.394
11,4,28.788,8.848
12,0,28.453,9.240
12,1,27.468,41.714
12,2,28.909,42.830
12,3,12.615,25.819
12,4,29.371,8.036
13,0,28.982,8.391
13,1,28.225,41.061
13,2,29.888,42.628
13,3,11.655,26.101
13,4,29.968,7.234
14,0,27.992,8.533
14,1,29.093,40.563
14,2,30.789,42.193
14,3,12.429,25.468
14,4,28.969,7.189
15,0,26.994,8.474
15,1,30.073,40.367
15,2,31.355,41.369
15,3,13.203,24.834
15,4,29.299,6.245
16,0,27.790,9.080
16,1,29.253,39.794
16,2,30.522,40.816
16,3,13.109,25.830
16,4,29.220,7.242
17,0,28.229,9.978
17,1,28.429,39.227
17,2,30.172,41.752
17,3,13.016,26.825
17,4,29.390,8.227
18,0,29.081,10.502
18,1,28.316,40.221
18,2,29.664,42.614
18,3,13.782,26.183
18,4,29.097,9.183
19,0,28.760,9.555
19,1,27.776,41.062
19,2,28.930,43.293
19,3,12.873,26.599
19,4,29.894,8.579
20,0,29.636,9.072
20,1,27.571,42.041
20,2,27.932,43.358
20,3,11.964,27.016
20,4,30.670,7.949
21,0,28.660,8.855
21,1,27.934,41.109
21,2,28.660,42.673
21,3,12.675,26.313
21,4,29.923,7.284
22,0,27.720,8.514
22,1,28.320,40.187
22,2,29.339,41.938
22,3,13.385,25.609
22,4,29.069,6.764
23,0,26.897,7.946
23,1,28.809,39.314
23,2,29.887,41.102
23,3,14.096,24.905
23,4,28.094,6.543
24,0,26.565,7.003
24,1,29.529,38.620
24,2,30.853,40.844
24,3,14.050,25.904
24,4,28.357,5.578
25,0,27.563,7.057
25,1,30.410,39.094
25,2,31.360,39.982
25,3,14.004,26.903
25,4,29.345,5.421
26,0,28.557,6.949
26,1,29.444,38.833
26,2,30.362,40.050
26,3,13.047,26.615
26,4,30.321,5.638
27,0,28.579,7.948
27,1,28.475,38.586
27,2,29.362,40.065
27,3,12.089,26.327
27,4,30.677,6.573
28,0,28.716,8.939
28,1,27.484,38.457
28,2,28.375,39.906
28,3,11.131,26.039
28,4,30.483,7.554
29,0,29.087,9.868
29,1,26.539,38.784
29,2,28.393,40.906
29,3,11.807,25.302
29,4,30.599,8.547
30,0,29.879,10.478
30,1,26.203,39.726
30,2,28.287,41.900
30,3,12.482,24.565
30,4,29.607,8.423
31,0,28.938,10.817
31,1,26.439,40.698
31,2,27.940,42.838
31,3,13.158,23.828
31,4,28.608,8.473
32,0,29.379,11.714
32,1,26.350,41.694
32,2,27.158,43.461
32,3,13.542,22.904
32,4,27.883,9.162
33,0,29.905,12.565
33,1,26.916,40.870
33,2,28.096,43.113
33,3,13.878,21.962
33,4,27.158,9.850
34,0,30.388,13.441
34,1,27.535,40.084
34,2,28.672,42.296
34,3,14.213,21.020
34,4,27.864,9.142
35,0,30.870,14.317
35,1,28.234,39.369
35,2,29.569,41.852
35,3,14.548,20.078
35,4,28.571,8.434
36,0,31.352,15.193
36,1,29.031,38.764
36,2,30.017,40.958
36,3,14.884,19.136
36,4,29.277,7.727
37,0,31.835,16.069
37,1,29.950,38.371
37,2,30.778,40.309
37,3,15.219,18.194
37,4,29.983,7.019
38,0,32.317,16.945
38,1,30.947,38.452
38,2,31.021,39.339
38,3,15.554,17.252
38,4,30.690,6.311
39,0,32.800,17.821
39,1,30.887,39.451
39,2,31.507,40.213
39,3,15.890,16.310
39,4,30.395,7.267
40,0,33.282,18.697
40,1,30.466,40.358
40,2,31.834,41.158
40,3,14.945,15.981
40,4,30.100,8.222
41,0,33.765,19.572
41,1,30.161,41.310
41,2,31.932,42.153
41,3,15.678,15.300
41,4,29.805,9.178
42,0,32.892,20.061
42,1,30.151,42.310
42,2,31.573,43.086
42,3,16.561,15.768
42,4,29.511,10.133
43,0,33.614,19.369
43,1,30.804,43.067
43,2,31.631,42.088
43,3,15.664,15.327
43,4,29.216,11.089
44,0,33.844,20.342
44,1,29.993,42.482
44,2,31.641,41.088
44,3,14.767,14.885
44,4,29.785,11.911
45,0,34.075,21.315
45,1,29.207,41.864
