tick,irrigated_pct,mean_temp_C,water_used_L
0,0.00,28.8400,0.0
1,0.67,28.8368,1.0
2,1.33,28.8336,2.0
3,2.67,28.8272,4.0
4,4.67,28.8176,7.0
5,6.67,28.8080,10.0
6,8.67,28.7984,13.0
7,8.67,28.7984,13.0
8,11.33,28.7856,17.0
9,12.00,28.7824,18.0
10,13.33,28.7760,20.0
11,14.67,28.7696,22.0
12,16.67,28.7600,25.0
13,18.67,28.7504,28.0
14,20.67,28.7408,31.0
15,21.33,28.7376,32.0
16,24.00,28.7248,36.0
17,24.00,28.7248,36.0
18,26.00,28.7152,39.0
19,26.67,28.7120,40.0
20,27.33,28.7088,41.0
21,29.33,28.6992,44.0
22,29.33,28.6992,44.0
23,29.33,28.6992,44.0
24,30.00,28.6960,45.0
25,32.00,28.6864,48.0
26,33.33,28.6800,50.0
27,34.00,28.6768,51.0
28,34.67,28.6736,52.0
29,35.33,28.6704,53.0
30,36.67,28.6640,55.0
31,37.33,28.6608,56.0
32,38.00,28.6576,57.0
33,38.67,28.6544,58.0
34,39.33,28.6512,59.0
35,39.33,28.6512,59.0
36,39.33,28.6512,59.0
37,39.33,28.6512,59.0
38,40.00,28.6480,60.0
39,42.00,28.6384,63.0
40,43.33,28.6320,65.0
41,44.67,28.6256,67.0
42,46.00,28.6192,69.0
43,47.33,28.6128,71.0
44,48.67,28.6064,73.0
45,49.33,28.6032,74.0
46,50.00,28.6000,75.0
47,51.33,28.5936,77.0
48,51.33,28.5936,77.0
49,52.00,28.5904,78.0
50,52.67,28.5872,79.0
51,52.67,28.5872,79.0
52,54.00,28.5808,81.0
53,54.00,28.5808,81.0
54,54.67,28.5776,82.0
55,56.00,28.5712,84.0
56,56.67,28.5680,85.0
57,57.33,28.5648,86.0
58,58.00,28.5616,87.0
59,59.33,28.5552,89.0
60,60.67,28.5488,91.0
61,62.00,28.5424,93.0
62,64.00,28.5328,96.0
63,65.33,28.5264,98.0
64,65.33,28.5264,98.0
65,66.67,28.5200,100.0
66,68.67,28.5104,103.0
67,69.33,28.5072,104.0
68,69.33,28.5072,104.0
69,70.67,28.5008,106.0
70,70.67,28.5008,106.0
71,72.00,28.4944,108.0
72,74.00,28.4848,111.0
73,74.00,28.4848,111.0
74,74.00,28.4848,111.0
75,74.00,28.4848,111.0
76,74.67,28.4816,112.0
77,75.33,28.4784,113.0
78,76.67,28.4720,115.0
79,77.33,28.4688,116.0
80,78.00,28.4656,117.0
81,78.67,28.4624,118.0
82,78.67,28.4624,118.0
83,79.33,28.4592,119.0
84,80.00,28.4560,120.0
85,80.67,28.4528,121.0
86,80.67,28.4528,121.0
87,81.33,28.4496,122.0
88,81.33,28.4496,122.0
89,81.33,28.4496,122.0
90,81.33,28.4496,122.0
91,82.00,28.4464,123.0
92,82.00,28.4464,123.0
93,82.00,28.4464,123.0
94,82.00,28.4464,123.0
95,82.00,28.4464,123.0
96,82.00,28.4464,123.0
97,82.00,28.4464,123.0
98,82.67,28.4432,124.0
99,83.33,28.4400,125.0
100,83.33,28.4400,125.0
101,83.33,28.4400,125.0
102,84.00,28.4368,126.0
103,84.67,28.4336,127.0
104,85.33,28.4304,128.0
105,86.00,28.4272,129.0
106,86.00,28.4272,129.0
107,88.00,28.4176,132.0
108,88.67,28.4144,133.0
109,88.67,28.4144,133.0
110,89.33,28.4112,134.0
111,90.00,28.4080,135.0
112,90.00,28.4080,135.0
113,90.00,28.4080,135.0
114,90.00,28.4080,135.0
115,90.00,28.4080,135.0
116,90.00,28.4080,135.0
117,90.00,28.4080,135.0
118,90.00,28.4080,135.0
119,90.67,28.4048,136.0
120,90.67,28.4048,136.0
121,90.67,28.4048,136.0
122,90.67,28.4048,136.0
123,91.33,28.4016,137.0
124,91.33,28.4016,137.0
125,91.33,28.4016,137.0
126,91.33,28.4016,137.0
127,92.00,28.3984,138.0
128,92.67,28.3952,139.0
129,93.33,28.3920,140.0
130,93.33,28.3920,140.0
131,94.00,28.3888,141.0
132,94.67,28.3856,142.0
133,94.67,28.3856,142.0
134,95.33,28.3824,143.0
135,96.67,28.3760,145.0
136,96.67,28.3760,145.0
137,96.67,28.3760,145.0
138,96.67,28.3760,145.0
139,96.67,28.3760,145.0
140,97.33,28.3728,146.0
141,98.00,28.3696,147.0
142,98.00,28.3696,147.0
143,98.00,28.3696,147.0
144,98.67,28.3664,148.0
145,99.33,28.3632,149.0
146,99.33,28.3632,149.0
148,100.00,28.3600,150.0
